timestamp,open,high,low,close,volume,quote_volume,trades
2025-03-24,623.8,639.5,618.0,637.08,307575.991,193512028.36247,946889
2025-03-25,637.08,644.88,627.05,629.82,554571.557,353137599.65513,1145565
2025-03-26,629.82,634.01,615.3,617.99,222093.835,139017120.22607,598142
2025-03-27,618.0,642.5,617.2,637.36,743401.847,471692258.54266,1409175
2025-03-28,637.36,637.51,616.0,619.81,317817.16,199721001.67967,815115
2025-03-29,619.81,623.84,596.97,602.99,254422.261,154421898.07789,821221
2025-03-30,603.0,613.37,593.58,602.2,195649.405,118304368.03307,645314
2025-03-31,602.2,608.89,587.26,604.81,254764.269,152922764.81958,884465
2025-04-01,604.81,618.54,604.46,611.13,565603.069,346421089.82224,1089355
2025-04-02,611.12,614.0,584.85,590.68,399507.957,240612013.9548,1295784
2025-04-03,590.67,610.58,578.46,592.67,507928.514,303406596.77059,1371430
2025-04-04,592.68,600.0,585.0,597.71,177145.405,105181815.22505,810433
2025-04-05,597.71,599.0,588.71,593.13,85938.079,51106827.24289,380314
2025-04-06,593.13,593.78,544.17,555.54,332256.265,189035699.70554,1118055
2025-04-07,555.55,567.6,520.0,554.6,727293.86,397028708.94978,2220788
2025-04-08,554.6,566.0,547.64,553.72,212191.86,118512835.45122,1049822
2025-04-09,553.72,585.97,534.3,582.32,378370.127,213004910.74643,1609476
2025-04-10,582.32,583.58,566.17,578.03,369219.863,212832786.45699,1138171
2025-04-11,578.03,590.36,575.7,585.93,174700.72,101866043.54306,606797
2025-04-12,585.93,600.48,584.0,597.29,151268.708,89655284.516,557934
2025-04-13,597.3,598.67,580.32,584.28,144896.285,85200185.56801,690159
2025-04-14,584.29,593.1,583.14,584.54,153827.795,90513576.06251,734997
2025-04-15,584.53,590.84,579.38,579.52,141640.579,83039414.125,536522
2025-04-16,579.52,587.0,576.0,582.8,174537.948,101484755.50647,657295
2025-04-17,582.8,592.97,581.0,590.49,151848.259,89134723.84238,484906
2025-04-18,590.5,596.08,587.08,591.71,191575.748,113223034.09646,437839
2025-04-19,591.7,594.49,587.7,591.73,96609.003,57098589.6793,302829
2025-04-20,591.74,595.23,587.5,592.77,115343.598,68276647.28278,355346
2025-04-21,592.77,608.52,592.53,597.34,171926.422,103304762.56314,606843
2025-04-22,597.32,619.9,595.0,618.51,285468.164,173308242.979,720292
2025-04-23,618.5,619.99,601.38,605.71,314125.448,191839028.68921,931184
2025-04-24,605.72,606.78,592.59,601.55,204214.28,122518204.22908,688342
2025-04-25,601.56,610.35,597.2,599.91,257426.554,155796837.88555,804129
2025-04-26,599.9,609.25,599.34,607.23,137533.142,83138818.02772,496928
2025-04-27,607.23,608.68,597.0,603.46,121784.476,73282794.69697,445823
2025-04-28,603.46,608.27,598.2,606.16,143778.008,86833971.50822,558813
2025-04-29,606.16,610.75,598.1,601.0,236809.997,143146651.13683,618674
2025-04-30,601.0,604.44,591.42,599.88,210580.664,126352033.11528,579043
2025-05-01,599.88,605.28,598.14,599.63,156229.229,94008927.36652,462918
2025-05-02,599.64,603.61,595.12,600.69,141344.865,84772654.30253,400361
2025-05-03,600.69,601.2,595.23,599.36,100770.294,60296742.70511,302618
2025-05-04,599.36,600.49,584.7,586.03,143960.835,85298964.66439,425251
2025-05-05,586.02,599.98,583.55,597.61,201100.589,119371782.25071,493859
2025-05-06,597.61,603.18,593.23,602.57,214613.107,128368850.19364,557571
2025-05-07,602.57,609.07,597.89,602.7,194088.591,117132375.09366,519932
2025-05-08,602.7,629.33,600.8,629.17,384267.525,236647691.95012,939619
2025-05-09,629.17,671.15,623.12,666.29,480734.869,306980185.05931,1362546
2025-05-10,666.29,678.95,648.83,663.9,444595.43,294150052.77147,1321115
2025-05-11,663.9,668.49,647.83,651.15,319998.959,210577921.77225,965437
2025-05-12,651.15,693.0,647.31,660.07,586386.945,392542282.91301,1658320
2025-05-13,660.08,672.0,640.66,664.13,416309.75,272901658.76016,1236144
2025-05-14,664.12,667.33,647.15,652.47,290029.994,190546608.72786,986450
2025-05-15,652.47,661.0,642.29,651.88,313560.813,204057655.69996,1164772
2025-05-16,651.88,659.97,644.0,646.76,200793.607,131210358.66972,766260
2025-05-17,646.76,646.9,635.05,639.51,141777.711,90893253.2512,656073
2025-05-18,639.5,655.19,634.39,651.53,189475.296,122348372.20883,690151
2025-05-19,651.54,653.53,633.51,649.62,210901.52,135603856.35643,806175
2025-05-20,649.62,653.75,640.14,650.0,169584.291,109772099.60261,632029
2025-05-21,650.0,678.0,648.49,673.31,470531.895,311660393.95119,1133569
2025-05-22,673.31,690.02,673.0,686.57,390007.996,266404901.15309,992245
2025-05-23,686.57,691.35,652.19,656.98,343668.707,231427488.3675,1142401
2025-05-24,656.99,677.47,655.4,668.01,165142.039,110606139.47037,627945
2025-05-25,668.0,671.67,657.1,669.44,169208.322,112315213.63574,606622
2025-05-26,669.45,678.33,668.22,674.29,180148.252,121339916.24473,575205
2025-05-27,674.3,697.73,666.56,686.91,326163.491,223248228.18154,914236
2025-05-28,686.9,689.22,680.04,686.89,211875.743,145022738.54658,713128
2025-05-29,686.89,691.24,673.33,675.02,260985.136,178247626.81514,844624
2025-05-30,675.02,678.5,653.22,655.36,218723.509,146064088.43998,990495
2025-05-31,655.36,661.42,645.04,658.01,158379.39,103495185.93207,770569
2025-06-01,658.01,662.48,647.58,660.77,131807.448,86198532.12636,571836
2025-06-02,660.77,667.0,650.05,665.93,143785.605,94585715.4531,676770
2025-06-03,665.93,673.43,657.11,661.59,158377.459,105542302.93054,615491
2025-06-04,661.6,671.76,660.84,663.23,124473.802,83119492.0917,514423
2025-06-05,663.24,670.92,625.44,633.32,271543.149,176686621.86037,1013492
2025-06-06,633.33,651.51,629.38,642.7,169535.957,108901056.43203,625128
2025-06-07,642.71,653.81,639.69,650.82,90666.37,58781736.18277,329816
2025-06-08,650.82,656.39,646.49,652.0,72300.314,47052170.18367,304842
2025-06-09,652.0,667.74,648.01,665.58,127272.158,83644611.37634,508179
2025-06-10,665.58,674.0,657.26,673.51,176645.056,117408553.72931,713456
2025-06-11,673.51,674.8,662.2,667.43,177934.085,119080780.42267,642930
2025-06-12,667.42,669.93,651.91,654.75,152793.975,101339742.7784,651576
2025-06-13,654.76,659.42,639.01,655.35,223303.917,145072177.3044,954080
2025-06-14,655.35,655.36,639.0,645.61,93690.143,60587334.88062,370153
2025-06-15,645.61,652.0,642.77,648.19,79324.646,51386018.57671,346804
2025-06-16,648.19,659.46,646.26,650.74,124203.787,81319264.39316,476014
2025-06-17,650.74,659.0,640.11,648.08,182982.263,119391370.60418,708532
2025-06-18,648.09,654.31,637.35,644.77,143725.674,92747657.02993,604528
2025-06-19,644.77,646.5,638.66,644.65,80404.985,51715724.58785,340969
2025-06-20,644.65,651.02,638.0,641.61,143279.622,92391446.73424,479084
2025-06-21,641.61,644.84,621.94,628.97,143508.116,91039970.44005,502284
2025-06-22,628.98,635.51,601.25,615.81,243515.033,150461464.40226,908458
2025-06-23,615.81,642.79,615.05,640.49,219674.329,137434002.16861,824397
2025-06-24,640.5,644.09,636.17,643.53,131607.231,84247712.66687,495451
2025-06-25,643.53,652.64,641.85,646.07,169433.154,109446216.98338,588673
2025-06-26,646.06,650.0,641.12,642.3,103057.286,66552033.67641,455413
2025-06-27,642.3,648.44,639.16,645.71,81302.955,52434499.65195,393437
2025-06-28,645.72,649.18,644.25,648.6,57714.965,37311567.0011,219864
2025-06-29,648.61,656.0,646.72,654.9,73235.796,47617946.51691,274297
2025-06-30,654.9,660.0,651.17,656.9,110702.196,72511068.06305,424941
2025-07-01,656.9,659.1,644.0,646.33,85803.055,55853408.99266,381179
2025-07-02,646.34,664.85,643.71,659.71,112807.955,74257373.93229,413737
2025-07-03,659.7,664.57,656.7,663.59,99001.436,65465622.82548,401632
2025-07-04,663.58,664.17,650.21,653.6,89027.412,58469301.0502,377665
2025-07-05,653.6,656.75,652.0,656.16,51648.289,33813242.68712,217046
2025-07-06,656.17,664.99,653.54,663.13,82399.119,54387999.31117,299084
2025-07-07,663.13,663.5,656.77,661.06,83232.984,55019317.81961,316562
2025-07-08,661.06,662.6,657.36,660.63,86374.042,57014603.7036,333828
2025-07-09,660.63,671.5,659.05,668.68,123551.595,82087015.33234,421990
2025-07-10,668.69,687.7,667.25,685.8,214967.536,145245124.55052,623891
2025-07-11,685.8,697.24,682.83,689.99,268353.904,185244954.90644,951072
2025-07-12,689.98,697.0,679.63,685.86,134785.185,92906122.92625,632277
2025-07-13,685.86,694.12,685.12,692.0,84925.723,58641223.00475,420139
2025-07-14,692.01,707.54,686.05,689.12,253634.996,177173266.8273,916315
2025-07-15,689.13,693.21,675.3,689.92,188962.491,129048003.51493,862340
2025-07-16,689.93,715.56,685.2,708.61,238334.938,167032328.53935,890354
2025-07-17,708.61,727.85,706.14,720.65,409572.675,294063734.31481,1476504
2025-07-18,720.64,765.56,718.73,729.92,556430.085,412241488.29112,1898312
2025-07-19,729.92,742.5,718.76,733.2,188095.81,137599574.21818,852649
2025-07-20,733.2,761.29,731.5,756.82,253255.203,189589685.25925,1009318
2025-07-21,756.82,781.99,746.06,766.22,338419.952,259224085.92258,1384348
2025-07-22,766.22,788.35,745.0,786.68,359074.056,274410540.66907,1533013
2025-07-23,786.69,809.84,752.47,776.74,709087.1566,558758062.209709,2200934
2025-07-24,776.74,786.16,742.62,770.74,363436.737,279037336.76837,1671053
2025-07-25,770.74,786.0,752.22,785.45,284068.121,218078862.99362,1384684
2025-07-26,785.44,798.0,778.28,793.29,128764.391,101212044.16622,550872
2025-07-27,793.3,847.12,791.04,844.0,397296.2555,324733711.4765263,1227811
2025-07-28,844.0,861.1,820.64,824.07,517734.6912,436930876.448927,1777923
2025-07-29,824.07,835.06,800.12,805.1,427366.132,349478646.03652,1731840
2025-07-30,805.11,811.64,766.21,793.51,369598.736,292598414.78571,1494587
2025-07-31,793.51,814.8,781.38,783.14,335026.145,268061917.80243,1282644
2025-08-01,783.13,795.4,744.69,757.08,393831.558,303104688.78998,1865479
2025-08-02,757.08,770.11,732.36,736.42,209282.992,157038728.0959,1112572
2025-08-03,736.43,755.53,730.01,751.21,142700.965,106592055.52365,668939
2025-08-04,751.21,770.0,750.47,768.63,171505.406,130422799.09016,719115
2025-08-05,768.62,769.79,745.11,755.13,179458.96,135631922.09486,978941
2025-08-06,755.13,774.84,746.26,769.55,163684.71,124894215.68082,768132
2025-08-07,769.55,788.68,764.17,788.67,188106.802,145543031.21357,691791
